nameDest,total_transactions,reference_label,study_case
C1073905576,23,1,False
C11731793,5,1,False
C118486786,13,0,False
C1185406486,12,1,True
C1307220530,19,0,True
C1339379997,9,0,False
C1430994246,15,1,False
C1558700979,6,0,False
C1564280287,1,1,False
C1641312686,5,1,True
C171772273,5,0,False
C1861343965,15,1,False
C2096685201,7,0,False
C351489984,12,0,False
C362029597,14,1,False
C407821637,2,1,False
C623644434,5,0,False
C633592175,2,1,False
C681898014,14,0,False
C700850453,34,0,False
C712430700,4,0,False
C741983979,18,0,False
C769767780,5,0,False
C977281429,35,1,True
C978277137,21,1,True
