step,type,amount,nameDest,isFraud
16,CASH_IN,307676.85,C1073905576,0
16,CASH_OUT,312126.34,C1073905576,0
18,CASH_OUT,178692.64,C1073905576,0
20,CASH_OUT,229399.45,C1073905576,0
33,CASH_IN,123715.43,C1073905576,0
39,TRANSFER,290964.5,C1073905576,0
39,CASH_IN,57513.02,C1073905576,0
40,CASH_IN,43065.83,C1073905576,0
40,CASH_OUT,93015.38,C1073905576,0
41,CASH_OUT,568468.98,C1073905576,0
45,CASH_OUT,57516.92,C1073905576,0
132,CASH_OUT,246539.65,C1073905576,0
134,CASH_IN,222925.26,C1073905576,0
139,CASH_IN,148069.72,C1073905576,0
210,CASH_OUT,63390.4,C1073905576,0
215,CASH_IN,177988.4,C1073905576,0
235,CASH_OUT,25978.11,C1073905576,0
304,CASH_OUT,324965.08,C1073905576,0
334,CASH_IN,104316.54,C1073905576,0
373,TRANSFER,652259.47,C1073905576,0
403,CASH_OUT,258002.81,C1073905576,0
404,CASH_IN,22635.25,C1073905576,0
679,CASH_OUT,198383.8,C1073905576,1
52,CASH_OUT,128426.58,C11731793,1
156,CASH_OUT,71152.54,C11731793,0
165,CASH_IN,61852.56,C11731793,0
186,CASH_OUT,117302.37,C11731793,0
259,CASH_IN,51115.73,C11731793,0
43,CASH_OUT,78454.94,C118486786,0
132,CASH_OUT,55994.25,C118486786,0
136,DEBIT,4553.25,C118486786,0
156,CASH_IN,67559.34,C118486786,0
165,CASH_IN,117641.24,C118486786,0
206,CASH_IN,58544.7,C118486786,0
252,TRANSFER,4488.32,C118486786,0
275,CASH_OUT,80096.93,C118486786,0
347,CASH_OUT,134171.19,C118486786,0
356,CASH_OUT,117910.33,C118486786,0
371,CASH_OUT,227148.98,C118486786,0
383,CASH_IN,165631.14,C118486786,0
399,CASH_IN,197123.92,C118486786,0
97,TRANSFER,4454632.3,C1185406486,1
119,CASH_OUT,41793.38,C1185406486,0
129,CASH_OUT,19596.84,C1185406486,0
166,CASH_IN,108220.57,C1185406486,0
167,TRANSFER,96463.25,C1185406486,0
230,CASH_IN,18884.26,C1185406486,0
234,CASH_OUT,212508.55,C1185406486,0
